ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,General Diaz - Nacional Asuncion,"05/04/2016, 22:00",37.0,35.0,28.0,2.83,3.55,2.47,1:1,1.04,1.24,0.69,35.3,28.1,40.4,1.68,6.84,-12.
1,Deportivo Toluca - Sao Paulo SP,"05/04/2016, 22:15",63.0,17.0,19.0,1.83,3.87,4.85,3:1,1.15,0.65,0.92,54.4,25.8,20.5,8.52,-8.8,-1.5
2,River Plate - Independiente Jose Teran,"05/04/2016, 22:15",58.0,17.0,25.0,1.32,5.53,14.1,1:0,0.76,0.94,3.52,75.7,18.0,7.09,-17.,-1.0,17.9
3,Ferroviaria SP - Fluminense RJ,"05/04/2016, 22:30",19.0,17.0,63.0,5.74,3.77,1.69,3:3,1.09,0.64,1.06,17.4,26.4,59.1,1.59,-9.4,3.88
4,Joinville SC - Comercial MS,"05/04/2016, 22:30",52.0,16.0,32.0,1.28,5.74,12.9,1:0,0.66,0.91,4.14,77.6,17.4,7.71,-25.,-1.4,24.2
5,Deportes Antofagasta - Santiago Wanderers,"05/04/2016, 22:30",31.0,47.0,22.0,2.44,3.49,2.90,0:0,0.75,1.64,0.63,40.8,28.6,34.4,-9.8,18.3,-12.
6,Salgueiro PE - Nautico PE,"05/04/2016, 22:30",38.0,31.0,32.0,2.38,3.27,3.16,0:1,0.90,1.01,1.01,41.8,30.5,31.6,-3.8,0.44,0.39
7,Universidad Cesar Vallejo - Sporting Cristal,"05/04/2016, 22:45",34.0,29.0,38.0,2.16,3.40,3.51,0:2,0.73,0.98,1.33,46.2,29.3,28.4,-12.,-0.3,9.55
8,Guarani Asuncion - Rubio Nu,"05/04/2016, 23:00",63.0,17.0,21.0,1.71,3.98,4.83,3:1,1.07,0.67,1.01,58.3,25.0,20.6,4.65,-8.0,0.30
9,Cerro Porteno - Club Libertad Asuncion,"05/04/2016, 23:15",26.0,25.0,48.0,9.15,5.21,1.35,0:1,2.37,1.30,0.64,10.9,19.1,73.9,15.0,5.82,-25.
10,Blooming Santa Cruz - Universitario de Sucre,"05/05/2016, 00:00",47.0,17.0,36.0,1.78,3.99,4.39,1:1,0.83,0.67,1.58,56.1,25.0,22.7,-9.1,-8.0,13.2
11,Jorge Wilstermann - San Jose Oruro,"05/05/2016, 00:00",59.0,17.0,24.0,1.75,3.93,4.62,2:2,1.03,0.66,1.10,56.8,25.4,21.6,2.11,-8.4,2.36
12,Liga Dep Universitaria Quito - El Nacional Quito,"05/05/2016, 00:15",36.0,45.0,18.0,1.90,3.41,4.48,1:2,0.68,1.53,0.80,52.5,29.2,22.3,-16.,15.7,-4.3
13,Barcelona Guayaquil - Deportivo Cuenca,"05/05/2016, 00:30",68.0,15.0,17.0,1.49,4.27,7.31,2:2,1.01,0.64,1.24,66.9,23.3,13.6,1.06,-8.3,3.33
14,Corinthians SP - Nacional de Football,"05/05/2016, 00:45",70.0,17.0,14.0,1.55,4.04,8.08,2:2,1.09,0.68,1.13,64.1,24.7,12.3,5.88,-7.7,1.63
15,Atletico Belo Horizonte MG - Racing Club,"05/05/2016, 00:45",65.0,17.0,19.0,1.66,4.06,6.10,2:1,1.08,0.69,1.15,59.8,24.6,16.3,5.10,-7.6,2.62
16,Fortaleza CE - Flamengo RJ,"05/05/2016, 00:45",17.0,39.0,44.0,3.77,3.56,2.05,2:1,0.64,1.39,0.90,26.4,28.0,48.5,-9.4,10.9,-4.5
17,Universidad San Martin - Alianza Lima,"05/05/2016, 01:00",22.0,35.0,43.0,2.91,3.28,2.55,1:2,0.64,1.14,1.09,34.3,30.4,39.1,-12.,4.55,3.80
18,CS Herediano - CD Belen Siglo XXI,"05/05/2016, 01:00",64.0,19.0,16.0,1.54,4.53,6.04,1:1,0.99,0.86,0.96,64.5,22.0,16.5,-0.5,-3.0,-0.5
19,Deportivo Saprissa - Liga Deportiva Alajuelense,"05/05/2016, 02:00",63.0,16.0,21.0,1.74,4.11,4.68,1:3,1.10,0.65,0.98,57.2,24.3,21.3,5.75,-8.3,-0.3
20,Mineros De Zacatecas - Necaxa,"05/05/2016, 02:00",26.0,36.0,38.0,2.45,3.36,2.97,0:2,0.63,1.21,1.12,40.6,29.6,33.6,-14.,6.32,4.36
21,Ulsan Hyundai FC - Seongnam FC,"05/05/2016, 05:00",25.0,41.0,34.0,2.52,3.11,3.09,0:3,0.63,1.27,1.05,39.5,32.0,32.3,-14.,8.91,1.66
22,Incheon United FC - Jeonnam Dragons,"05/05/2016, 05:00",23.0,43.0,35.0,2.85,3.14,2.69,0:0,0.65,1.35,0.94,35.0,31.8,37.1,-12.,11.1,-2.1
23,Daegu FC - Busan I Park,"05/05/2016, 06:00",23.0,34.0,43.0,2.73,2.99,2.92,1:0,0.62,1.01,1.25,36.5,33.3,34.1,-13.,0.63,8.82
24,Gwangju FC - Sangju Sangmu Phoenix,"05/05/2016, 07:00",42.0,36.0,21.0,2.48,3.32,2.97,1:0,1.04,1.19,0.62,40.2,30.1,33.6,1.70,5.88,-12.
25,Young Style SC Wienerberg - ASK Elektra,"05/05/2016, 09:15",42.0,18.0,40.0,1.57,4.28,5.88,2:2,0.65,0.77,2.35,63.6,23.3,17.0,-21.,-5.3,23.0
26,Rovaniemi Palloseura - FC Lahti,"05/05/2016, 11:00",38.0,30.0,33.0,2.12,3.51,3.91,0:0,0.80,1.05,1.29,47.0,28.4,25.5,-9.0,1.55,7.42
27,Seinajoen JK - FC Inter Turku,"05/05/2016, 11:00",33.0,30.0,37.0,2.26,3.26,3.81,1:0,0.74,0.97,1.41,44.1,30.6,26.2,-11.,-0.6,10.7
28,Söderhamns FF - Morön BK,"05/05/2016, 11:00",53.0,29.0,18.0,1.88,4.07,3.65,1:0,0.99,1.18,0.65,53.1,24.5,27.3,-0.1,4.45,-9.3
29,Nice Futis - TIPS Vantaa,"05/05/2016, 11:00",59.0,21.0,20.0,1.43,5.36,6.34,4:0,0.84,1.12,1.26,69.4,18.6,15.7,-10.,2.35,4.23
30,ONS Oulu - PK-35Vantaa,"05/05/2016, 11:00",36.0,11.0,52.0,8.33,6.45,1.30,2:4,3.00,0.71,0.68,11.9,15.4,76.3,24.0,-4.4,-24.
31,FC Honka - TPS,"05/05/2016, 11:00",44.0,41.0,15.0,1.66,4.48,4.54,3:4,0.73,1.83,0.68,59.8,22.3,21.9,-15.,18.6,-6.9
32,HJK Helsinki - Aaland United,"05/05/2016, 11:00",37.0,33.0,30.0,2.20,3.94,2.99,4:2,0.81,1.30,0.89,45.3,25.3,33.3,-8.3,7.67,-3.3
33,FC Okzhetpes - FC Astana,"05/05/2016, 11:00",13.0,31.0,55.0,4.92,3.38,1.78,0:1,0.64,1.04,0.97,20.3,29.5,56.1,-7.3,1.42,-1.1
34,TSB Flensburg - FC Reher/Puls,"05/05/2016, 11:00",58.0,12.0,30.0,1.12,9.94,19.0,4:0,0.65,1.19,5.71,88.7,10.0,5.25,-30.,1.94,24.7
35,Alemannia Haibach - TSV Aubstadt,"05/05/2016, 11:00",36.0,33.0,32.0,2.33,4.02,2.76,5:1,0.83,1.32,0.88,42.8,24.8,36.2,-6.8,8.14,-4.2
36,Geyland International - Young Lions,"05/05/2016, 11:30",58.0,22.0,20.0,1.48,4.89,6.27,3:1,0.86,1.07,1.25,67.4,20.4,15.9,-9.4,1.58,4.06
37,Warriors FC - Brunei Dpmm FC,"05/05/2016, 11:30",24.0,29.0,47.0,3.23,3.88,2.11,1:1,0.77,1.12,0.99,30.8,25.7,47.2,-6.8,3.26,-0.2
38,Vejle BK - FC Fredericia,"05/05/2016, 11:45",52.0,26.0,22.0,2.05,3.62,3.74,0:0,1.07,0.94,0.82,48.5,27.5,26.6,3.45,-1.5,-4.6
39,Sudet - Mikkelin Palloilijat,"05/05/2016, 12:00",17.0,32.0,51.0,3.78,4.39,1.79,1:3,0.64,1.40,0.91,26.4,22.7,55.8,-9.4,9.22,-4.8
40,Kultsu FC - FC Vaajakoski,"05/05/2016, 12:00",55.0,17.0,28.0,2.29,4.61,2.50,0:2,1.26,0.78,0.70,43.5,21.6,39.9,11.4,-4.6,-11.
41,FK Akzhaiyk Uralsk - FC Aktobe,"05/05/2016, 12:00",28.0,24.0,48.0,3.17,3.16,2.33,0:0,0.88,0.75,1.11,31.4,31.6,42.8,-3.4,-7.6,5.12
42,FC Taraz - Shakhter Karagandy,"05/05/2016, 12:00",33.0,34.0,33.0,2.10,3.23,3.61,1:2,0.69,1.10,1.19,47.5,30.8,27.6,-14.,3.10,5.32
43,FC Irtysh Pavlodar - Tobol Kostanay,"05/05/2016, 12:00",63.0,19.0,19.0,1.47,4.14,7.19,3:1,0.92,0.78,1.36,67.9,24.1,13.8,-4.9,-5.1,5.10
44,FK Mlada Boleslav - 1 FK Pribram,"05/05/2016, 12:00",73.0,10.0,17.0,1.20,7.42,14.0,3:1,0.87,0.74,2.39,83.2,13.4,7.11,-10.,-3.4,9.88
45,FC Oleksandria - Dynamo Kiev U19,"05/05/2016, 12:00",22.0,16.0,62.0,3.45,5.71,1.73,0:2,0.75,0.91,1.07,28.9,17.4,57.6,-6.9,-1.4,4.39
46,Friska Viljor FC - Ange IF,"05/05/2016, 13:00",32.0,17.0,51.0,2.33,4.01,2.69,2:0,0.74,0.68,1.37,42.8,24.9,37.1,-10.,-7.9,13.8
47,FK Atyrau - Ordabasy Shymkent,"05/05/2016, 13:00",30.0,49.0,21.0,2.55,2.99,2.98,2:2,0.76,1.46,0.62,39.1,33.3,33.4,-9.1,15.6,-12.
48,VFL Pinneberg - FC Suderelbe,"05/05/2016, 13:00",57.0,16.0,28.0,2.29,4.16,2.74,0:0,1.30,0.66,0.76,43.5,24.0,36.3,13.4,-8.0,-8.3
49,Malmö FF - BK Häcken,"05/05/2016, 13:30",73.0,16.0,11.0,1.54,4.22,6.42,2:2,1.13,0.67,0.70,64.5,23.6,15.5,8.43,-7.6,-4.5
50,FC Kairat Almaty - FC Zhetysu,"05/05/2016, 13:30",45.0,15.0,41.0,1.35,4.44,10.1,2:0,0.60,0.66,4.16,73.9,22.5,9.83,-28.,-7.5,31.1
51,Znamya Truda - FK Khimki,"05/05/2016, 14:00",27.0,11.0,63.0,12.8,6.34,1.24,0:3,3.45,0.69,0.78,7.81,15.7,80.3,19.1,-4.7,-17.
52,Pallokissat - Ilves,"05/05/2016, 14:30",23.0,15.0,62.0,2.84,4.39,2.17,0:0,0.65,0.65,1.34,35.1,22.7,46.0,-12.,-7.7,15.9
53,AGF Aarhus - FC Copenhagen,"05/05/2016, 15:00",16.0,33.0,50.0,6.47,3.97,1.60,1:2,1.03,1.31,0.80,15.4,25.1,62.3,0.54,7.83,-12.
54,Örgryte IS - Varbergs Bois,"05/05/2016, 15:30",45.0,33.0,21.0,1.84,3.61,4.96,3:0,0.83,1.19,1.04,54.1,27.6,20.1,-9.1,5.32,0.85
55,TPV Tampere - FC Honka,"05/05/2016, 15:30",24.0,18.0,58.0,4.71,4.96,1.57,3:2,1.13,0.89,0.91,21.2,20.1,63.6,2.78,-2.1,-5.6
56,FC Pskov-747 - FK Kolomna,"05/05/2016, 15:30",45.0,26.0,30.0,1.37,4.67,10.1,2:1,0.61,1.21,3.04,72.7,21.3,9.83,-27.,4.60,20.1
57,Alta IF - Bodo/Glimt,"05/05/2016, 16:00",11.0,20.0,69.0,6.47,5.08,1.45,1:4,0.71,1.01,1.00,15.4,19.6,68.9,-4.4,0.32,0.05
58,Tornion Pallo 47 - GBK Kokkola,"05/05/2016, 16:00",30.0,20.0,49.0,2.04,4.23,3.06,2:0,0.61,0.84,1.50,48.8,23.5,32.5,-18.,-3.5,16.4
59,Tallinna FC Flora II - Nomme JK Kalju II,"05/05/2016, 16:00",56.0,9.0,34.0,1.20,7.57,13.2,3:2,0.67,0.68,4.49,83.2,13.2,7.57,-27.,-4.2,26.4
60,Fenerbahce - Torku Konyaspor,"05/05/2016, 16:15",65.0,18.0,16.0,1.75,4.18,4.96,2:0,1.14,0.75,0.79,56.8,23.8,20.1,8.11,-5.8,-4.1
61,F91 Dudelange - Union Titus Petingen,"05/05/2016, 16:30",66.0,14.0,21.0,1.06,16.4,27.2,0:0,0.70,2.29,5.72,94.0,6.09,3.66,-28.,7.90,17.3
62,Fredrikstad FK - Sarpsborg,"05/05/2016, 17:00",21.0,22.0,58.0,4.40,3.81,1.81,1:3,0.92,0.83,1.05,22.7,26.2,55.1,-1.7,-4.2,2.86
63,Enppi Club - El Daklyeh,"05/05/2016, 17:00",36.0,44.0,21.0,2.25,3.16,3.57,0:1,0.81,1.39,0.75,44.3,31.6,27.9,-8.3,12.3,-6.9
64,Aberdeen FC - Ross County,"05/05/2016, 17:00",68.0,14.0,18.0,1.48,4.87,6.21,1:0,1.00,0.68,1.11,67.4,20.5,16.0,0.57,-6.5,1.91
65,Robertsfors IK - Taftea IK,"05/05/2016, 17:00",27.0,19.0,54.0,3.11,5.60,1.84,0:5,0.84,1.06,0.99,32.0,17.8,54.1,-5.0,1.16,-0.1
66,Grimsby Town - Braintree Town,"05/05/2016, 18:00",45.0,24.0,31.0,1.95,3.51,4.66,0:1,0.88,0.84,1.44,51.0,28.4,21.4,-6.0,-4.4,9.55
67,CA Aldosivi - Deportivo Moron,"05/05/2016, 18:30",52.0,22.0,26.0,1.62,3.78,6.30,0:0,0.84,0.83,1.63,61.5,26.4,15.8,-9.5,-4.4,10.1
68,Club Petrolero - Bolivar,"05/05/2016, 19:00",29.0,32.0,39.0,2.93,3.58,2.36,4:1,0.85,1.14,0.92,34.0,27.8,42.2,-5.0,4.13,-3.2
69,FC Sevilla - FC Shakhtar Donetsk,"05/05/2016, 19:05",58.0,24.0,18.0,1.65,4.71,6.03,3:1,0.96,1.13,1.08,60.2,21.2,16.5,-2.2,2.78,1.43
70,Liverpool FC - Villarreal CF,"05/05/2016, 19:05",56.0,26.0,18.0,1.80,3.98,5.70,3:0,1.00,1.03,1.02,55.4,25.0,17.5,0.52,0.91,0.46
71,Atletico Huila - Deportes Quindio,"05/05/2016, 20:00",47.0,25.0,29.0,2.10,3.55,3.52,1:1,0.98,0.88,1.02,47.5,28.1,28.3,-0.5,-3.1,0.65
72,Real Cartagena - Barranquilla FC,"05/05/2016, 20:15",70.0,14.0,16.0,1.41,4.71,8.12,1:0,0.99,0.65,1.29,70.5,21.2,12.3,-0.5,-7.2,3.68
73,CD Marathon - Real CD Espana,"05/05/2016, 21:30",49.0,26.0,25.0,2.13,3.66,3.33,1:0,1.04,0.95,0.83,46.7,27.3,30.0,2.24,-1.3,-5.0
